title,publish,isbn
"たのしいRuby第4版","SBクリエイティブ","9784797372274"
"Ruby　on　Rails　4アプリケーションプログラミング","技術評論社","9784774164106"
"パーフェクトRuby （Perfect　series）","技術評論社","9784774158792"
"Ruby徹底攻略 Ruby2．1／Rails4／テスト最前線／Rub （WEB＋DB　press　plusシリーズ）","技術評論社","9784774165349"
"パーフェクトRuby　on　Rails （Ｐｅｒｆｅｃｔ　ｓｅｒｉｅｓ）","技術評論社","9784774165165"
"Effective　Ruby あなたのRubyをより輝かせる48の特別な方法","翔泳社","9784798139821"
"Ruby技術者認定試験合格教本 Ruby公式資格教科書","技術評論社","9784774175676"
"Rubyによるクローラー開発技法 巡回・解析機能の実装と21の運用例","SBクリエイティブ","9784797380354"
"Rubyのしくみ","オーム社","9784274050657"
"基礎Ruby　on　Rails改訂3版 入門からゆっくりとステップアップ…！ （IMPRESS　KISO　SERIES）","インプレス","9784844338154"
"Ruby （シリーズアジャイルソフトウェア開発技術）","東京電機大学出版局","9784501550509"
"実用的Rubyスクリプティング 入門から次の段階に進むためのスクリプトの…","カットシステム","9784877833473"
"Ruby公式資格教科書 Ruby技術者認定試験Silver／Gold対応 （EXPERT　EXPASS）","技術評論社","9784774150017"
"実践Ruby　on　Rails　4 現場のプロから学ぶ本格Webプログラミング","インプレスジャパン, インプレス","9784844335924"
"たった2日でできるRuby 自宅のＷｉｎｄｏｗｓ　ｏｒ　ＭａｃでＯＫ…","秀和システム","9784798040219"
"はじめてのJRuby　on　Rails 「Ｊａｖａ」＋「Ｒｕｂｙ」でＷｅｂアプリ… （Ｉ／Ｏ　ｂｏｏｋｓ）","工学社","9784777517138"
"Rubyプログラミング入門 はじめてのプログラミング、はじめてのＲｕ…","ビー・エヌ・エヌ新社","9784861006111"
"明解！Ruby 奥深いＲｕｂｙの文化を身に付けるテクニッ…","桐原書店","9784864011099"
"Rubyレシピブック303の技","SBクリエイティブ","9784797359985"
"Ruby逆引きハンドブック Ruby　1．8．6／1．8．7／1．9各バージョ","シーアンドアール研究所","9784863540224"
"たのしい開発スタートアップRuby","技術評論社","9784774151663"
"Ruby　on　Rails環境構築ガイド ソース管理から公開までを徹底解説","インプレスジャパン, インプレス","9784844333753"
"The　Ruby　way第2版 （Ｐｒｏｆｅｓｓｉｏｎａｌ　Ｒｕｂｙ　ｓｅ…）","翔泳社","9784798115337"
"Rubyベストプラクティス プロフェッショナルによるコードとテクニッ…","オーム社, オーム社","9784873114453"
"7つの言語7つの世界 Ruby，Io，Prolog，Scala，Erla","オーム社","9784274068577"
"jpmobileによるモバイルサイト構築 Ruby　on　Rails　3で作る","ボーンデジタル","9784862671264"
"Ruby（3） オブジェクト指向とはじめての設計 （プログラミング学習シリーズ）","翔泳社","9784798118017"
"Ruby　on　Rails　3ポケットリファレンス （Ｐｏｃｋｅｔ　ｒｅｆｅｒｅｎｃｅ）","技術評論社","9784774149806"
"基礎Ruby　on　Rails改訂新版 入門から実践へステップアップ…！ （Impress　kiso　series）","インプレスジャパン, インプレス","9784844331568"
"独習Ruby","翔泳社","9784798117850"
